Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
127482608,Come and Get It,Kiley Reid,"Reid, Kiley",,"=""0593328205""","=""9780593328200""",0,3.33,G.P. Putnam's Sons,Hardcover,400,2024,2024,,2024/06/26,to-read,to-read (#53),to-read,,,,0,0
127305658,Like Happiness,Ursula Villarreal-Moura,"Villarreal-Moura, Ursula",,"=""1250882834""","=""9781250882837""",0,3.77,Celadon Books,Hardcover,304,2024,2024,,2024/06/26,to-read,to-read (#52),to-read,,,,0,0
60097451,Motherthing,Ainslie Hogarth,"Hogarth, Ainslie",,"=""0593467027""","=""9780593467022""",3,3.60,Vintage,Paperback,288,2022,2022,2024/06/25,2024/05/31,,,read,Not a lot of things I really loved about this book but there are a few things I didn’t like. In the end that’s two books I went into blind that ended with cannibalism and used the word „inflated” to describe the characters post cannibalism meal. The other book was Earthlings. ,,,1,0
176443453,Greta & Valdin,Rebecca K. Reilly,"Reilly, Rebecca K.",,"=""1668028042""","=""9781668028049""",0,3.90,Avid Reader Press / Simon & Schuster,Hardcover,352,2024,2021,,2024/06/16,to-read,to-read (#51),to-read,,,,0,0
50042494,Ghosts,Dolly Alderton,"Alderton, Dolly",,"=""0241434548""","=""9780241434543""",3,3.87,Fig Tree,Hardcover,352,2020,2020,2024/06/05,2024/06/05,,,read,,,,1,0
6514,The Bell Jar,Sylvia Plath,"Plath, Sylvia",,"=""0571268862""","=""9780571268863""",0,4.05,Harper Perennial Modern Classics,Paperback,294,2006,1963,,2024/06/03,to-read,to-read (#50),to-read,,,,0,0
54304105,Milk Fed,Melissa Broder,"Broder, Melissa",,"=""1982142499""","=""9781982142490""",0,3.56,Scribner,Hardcover,304,2021,2021,,2024/06/03,to-read,to-read (#49),to-read,,,,0,0
57693639,Pure Colour,Sheila Heti,"Heti, Sheila",,"=""0374603944""","=""9780374603946""",0,3.42,"Farrar, Straus and Giroux",Hardcover,224,2022,2022,,2024/05/31,to-read,to-read (#48),to-read,,,,0,0
23453099,Eileen,Ottessa Moshfegh,"Moshfegh, Ottessa",,"=""1594206627""","=""9781594206627""",0,3.56,Penguin Press,Hardcover,260,2015,2015,,2024/05/31,to-read,to-read (#47),to-read,,,,0,0
60701439,Big Swiss,Jen Beagin,"Beagin, Jen",,"=""1982153083""","=""9781982153083""",5,3.68,Scribner,Hardcover,336,2023,2023,2024/05/30,2024/01/17,,,read,Ok another time I rated a book five stars because I really liked it… so sue me…. But this one HIT the right mix of knowing people’s secrets and sexiness,,,1,0
